"KrS","Kreis","Twitter"
5374,"Oberbergischer Kreis","OBK_Verwaltung"
12065,"Oberhavel",
12066,"Oberspreewald-Lausitz",
6437,"Odenwaldkreis",
12067,"Oder-Spree","kreisoderspree"
6438,"Offenbach","KVOffenbach"
3458,"Oldenburg",
5966,"Olpe",
8317,"Ortenaukreis","ortenaukreis"
3459,"Osnabrück",
8136,"Ostalbkreis",
9777,"Ostallgäu",
3356,"Osterholz","Landkreis_OHZ"
1055,"Ostholstein",
12068,"Ostprignitz-Ruppin",
5774,"Paderborn","KreisPaderborn"
9275,"Passau",
3157,"Peine","LandkreisPeine"
9186,"Pfaffenhofen an der Ilm",
1056,"Pinneberg",
1057,"Plön",
12069,"Potsdam-Mittelmark",
12070,"Prignitz","lkprignitz"
8216,"Rastatt",
8436,"Ravensburg",
5562,"Recklinghausen","kreis_re"
9276,"Regen",
9375,"Regensburg","LandkreisR"
8119,"Rems-Murr-Kreis",
1058,"Rendsburg-Eckernförde",
8415,"Reutlingen",
5362,"Rhein-Erft-Kreis","rek_landrat"
6439,"Rheingau-Taunus-Kreis",
7140,"Rhein-Hunsrück-Kreis",
5378,"Rheinisch-Bergischer Kreis",
5162,"Rhein-Kreis Neuss","rheinkreisneuss"
7141,"Rhein-Lahn-Kreis",
8226,"Rhein-Neckar-Kreis","presse_rnk"
7338,"Rhein-Pfalz-Kreis","RheinPfalzKreis"
5382,"Rhein-Sieg-Kreis","RheinSiegKreis"
9673,"Rhön-Grabfeld",
9187,"Rosenheim","Kreis_Rosenheim"
13072,"Rostock","kreis_rostock"
3357,"Rotenburg",
9576,"Roth","LandkreisRoth"
9277,"Rottal-Inn","Rottal_Inn"
8325,"Rottweil",
16074,"Saale-Holzland-Kreis",
15088,"Saalekreis",
16075,"Saale-Orla-Kreis",
16073,"Saalfeld-Rudolstadt",
10041,"Saarbrücken, Regionalverband",
10044,"Saarlouis",
10045,"Saarpfalz-Kreis",
14628,"Sächsische Schweiz-Osterzgebirge",
15089,"Salzlandkreis",
3257,"Schaumburg","LKSchaumburg"
1059,"Schleswig-Flensburg",
16066,"Schmalkalden-Meiningen",
6634,"Schwalm-Eder-Kreis",
9376,"Schwandorf",
8326,"Schwarzwald-Baar-Kreis",
8127,"Schwäbisch Hall",
9678,"Schweinfurt",
1060,"Segeberg",
5970,"Siegen-Wittgenstein","Kreis_SiWi"
8437,"Sigmaringen",
5974,"Soest","KreisSoest"
16068,"Sömmerda",
16072,"Sonneberg",
12071,"Spree-Neiße",
10046,"St. Wendel",
3359,"Stade","lkstade"
9188,"Starnberg",
1061,"Steinburg",
5566,"Steinfurt","Kreis_Steinfurt"
15090,"Stendal","landkreisSDL"
1062,"Stormarn","Kreis_Stormarn"
9278,"Straubing-Bogen",
7337,"Südliche Weinstraße",
7340,"Südwestpfalz",
12072,"Teltow-Fläming",
9377,"Tirschenreuth","LandkreisTIR"
9189,"Traunstein",
7235,"Trier-Saarburg",
8416,"Tübingen",
8327,"Tuttlingen",
12073,"Uckermark",
3360,"Uelzen","Lk_Uelzen"
5978,"Unna","kreis_UN "
16064,"Unstrut-Hainich-Kreis","UHKreis"
9778,"Unterallgäu",
3460,"Vechta",
3361,"Verden",
5166,"Viersen","kreisviersen"
6535,"Vogelsbergkreis","vogelsbergkreis"
14523,"Vogtlandkreis",
13075,"Vorpommern-Greifswald",
13073,"Vorpommern-Rügen",
7233,"Vulkaneifel",
6635,"Waldeck-Frankenberg",
8337,"Waldshut",
5570,"Warendorf",
16063,"Wartburgkreis",
9190,"Weilheim-Schongau",
16071,"Weimarer Land",
9577,"Weißenburg-Gunzenhausen",
6636,"Werra-Meißner-Kreis",
5170,"Wesel",
3461,"Wesermarsch",
7143,"Westerwaldkreis",
6440,"Wetteraukreis",
15091,"Wittenberg",
3462,"Wittmund",
3158,"Wolfenbüttel",
9479,"Wunsiedel im Fichtelgebirge",
9679,"Würzburg",
8417,"Zollernalbkreis",
14524,"Zwickau",
